timestamp,open,high,low,close,volume,PC1,PC2,kmeans_regime,hmm_regime
2020-01-13,8180.81,8195.81,8041.95,8104.5,6678.02840315,2.9215004073693684,-2.748274781919548,1,1
2020-01-14,8105.6,8893.69,8105.23,8815.69,27075.8082207,2.9215004073693684,-2.748274781919548,1,0
2020-01-15,8812.58,8900.0,8550.0,8808.81,14977.61979023,2.694075089319927,-2.892289153016474,2,1
2020-01-16,8808.81,8850.0,8580.0,8714.76,9265.76423506,2.668653036001828,-2.9083873651768397,2,0
2020-01-17,8714.77,9013.0,8665.67,8899.42,15447.36512517,2.7505115134473352,-2.856551460320795,1,1
2020-01-18,8899.42,8980.0,8800.1,8909.32,5600.21827844,2.6977018380970135,-2.887257974516742,2,0
2020-01-19,8908.95,9194.99,8465.0,8697.53,15218.51476182,2.6339602471151755,-2.928023056034145,2,1
2020-01-20,8697.53,8734.84,8504.06,8628.89,5605.80561385,2.6750289725391077,-2.902628099819745,2,0
2020-01-21,8628.89,8774.31,8465.0,8722.03,7520.65103045,2.723018486296258,-2.872214610708787,2,1
2020-01-22,8722.03,8791.76,8565.0,8660.38,5481.36960818,2.677500466334042,-2.9018505540644908,2,0
2020-01-23,8660.38,8665.0,8278.0,8385.22,12206.24491133,2.6146176188877632,-2.9429736334869467,2,1
2020-01-24,8385.21,8509.99,8216.71,8427.26,8634.96792308,2.709843580456387,-2.8842519515484764,2,0
2020-01-25,8427.58,8437.76,8252.73,8326.81,3783.20831697,2.6671993666607157,-2.913102157549774,2,1
2020-01-26,8326.8,8595.0,8278.68,8595.0,5497.32293973,2.7285922512304,-2.77889089545544,1,0
2020-01-27,8595.0,8985.0,8556.6,8895.96,9548.60475006,3.0886690732404425,-2.5075840579453357,1,1
2020-01-28,8895.95,9418.91,8880.87,9394.5,17578.54006083,4.071186271584859,-1.7981790239740085,1,0
2020-01-29,9391.14,9439.83,9224.75,9288.44,12233.05063864,3.838979495207935,-1.9511384386140505,1,1
2020-01-30,9287.9,9574.68,9171.11,9503.08,12948.39766745,4.135264944422012,-1.7369048330059271,1,0
2020-01-31,9502.71,9522.5,9195.49,9334.98,9719.06131452,3.731739556718624,-2.021429149899226,1,1
2020-02-01,9334.98,9458.08,9285.01,9380.18,4387.41986202,3.806458370051274,-1.9719083631145986,1,0
2020-02-02,9380.18,9480.0,9140.0,9323.5,7307.92291459,3.462605062274668,-2.201529808316144,1,1
2020-02-03,9325.01,9619.95,9220.0,9280.49,11910.28572971,3.378754068318914,-2.250037435176118,1,0
2020-02-04,9280.49,9350.0,9078.05,9164.33,8190.74898707,2.97526702058997,-2.5367902513943767,1,1
2020-02-05,9164.33,9769.7,9150.0,9613.82,13267.06193659,4.142281370921059,-1.698899122989611,1,0
2020-02-06,9613.91,9857.0,9521.47,9763.01,12672.13678163,4.356347200452106,-1.5307047181903362,1,1
2020-02-07,9763.01,9885.0,9713.99,9808.05,8516.62840515,4.353766768382466,-1.529929814091229,1,0
2020-02-08,9807.92,9955.0,9653.47,9905.64,8100.97112281,4.4294861596429715,-1.4689177922005296,1,1
2020-02-09,9905.64,10178.91,9888.76,10168.35,9649.74938704,4.961761638619273,-1.044881579144423,1,0
2020-02-10,10168.36,10199.0,9736.0,9851.78,13249.58715176,3.9097913928289705,-1.7927200146930586,1,1
2020-02-11,9851.78,10400.0,9706.0,10270.01,16722.06581913,4.573057230259407,-1.3128595920093065,1,0
